country,PC1,PC2,cluster
Afghanistan,732.2158640422199,203.3814944973579,1
Albania,-613.2965104085695,4.715978118082035,0
Algeria,-569.3037132917624,-36.83705098363422,0
American Samoa,-717.0827658445177,5.464695548153987,0
Andorra,-661.8022414622322,11.037736447487857,0
Angola,990.5363379957341,294.2437245183664,1
Anguilla,-618.8911693846728,-14.502927875453453,0
Antigua and Barbuda,-723.6567957362029,-5.371257538666147,0
Argentina,-508.244158236874,61.03970042795802,0
Armenia,-454.5520599347776,-78.9863744428524,0
Australia,-742.5754082560936,-13.748823803359313,0
Austria,-715.9068064496074,-5.969219911905113,0
Azerbaijan,-410.21526645346535,-83.51075704273332,0
Bahamas,-553.2379296577501,-13.787739664424505,0
Bahrain,-443.4805156790083,77.585555111387,0
Bangladesh,1422.8006030537606,242.72208332776,2
Barbados,-747.3934820932172,-9.33538065710814,0
Belarus,-432.6315714482498,-39.69335429715879,0
Belgium,-715.7795523453992,-8.732092431942494,0
Belize,-565.1110033142844,14.060593183206318,0
Benin,-208.23740784030923,-31.65805161385098,0
Bermuda,-738.452781723438,-10.165310215205485,0
Bhutan,1742.709248744438,569.4489542640232,2
Bolivia,369.73996955960047,192.50020992361056,1
Bosnia and Herzegovina,-337.63313916446,142.9973358670571,0
Botswana,1124.6237059828516,-503.64061810904593,1
Brazil,-394.47756005101564,60.51323614083361,0
British Virgin Islands,-679.056459903014,2.3174923962640546,0
Brunei Darussalam,-418.4627081561201,17.71136119181524,0
Bulgaria,-544.8749020111833,-6.04377992418241,0
Burkina Faso,536.3740716861827,-408.91948568746625,1
Burundi,1125.8146964621649,-655.8018966892022,1
Cambodia,2538.953257507058,223.86400424867813,2
Cameroon,120.28109569148535,-78.94350828083536,0
Canada,-748.1254581042133,-11.062861250302577,0
Cape Verde,814.5299259651312,136.1223259599497,1
Cayman Islands,-739.3877912775491,-9.104772006233357,0
Central African Republic,1003.717738705756,-355.10431925701226,1
Chad,940.9922227016534,-472.26906249230854,1
Chile,-662.2282016454321,21.76315592238798,0
China,376.4873362442487,121.3591747603014,1
Colombia,-491.294649942814,30.67224621187547,0
Comoros,-222.7020454621415,96.54034650301402,0
"Congo, Rep.",803.6781376722043,-453.2764868599723,1
Cook Islands,-684.9758708563501,0.8045871676313722,0
Costa Rica,-687.115904224278,9.091934649927353,0
Croatia,-382.17392863823034,72.91011628704722,0
Cuba,-699.4690357214164,13.694035992071576,0
Cyprus,-731.2037695194233,-4.7761542318092065,0
Czech Republic,-698.0795168017572,2.3549276940339428,0
Cote d'Ivoire,1081.284247109981,-584.0036050413646,1
"Korea, Dem. Rep.",2146.6232985155475,438.94597737899795,2
"Congo, Dem. Rep.",1413.9433565656852,-716.079455252235,1
Denmark,-734.1233601716061,-8.450218512851185,0
Djibouti,3798.4474455309787,578.9752768214322,2
Dominica,-681.3413687473059,-9.558557324975924,0
Dominican Republic,-236.20472631840795,99.55119811825669,0
Ecuador,100.47407942784791,141.86894194821534,0
Egypt,-604.7664690026403,12.869140388630145,0
El Salvador,-417.1823519706357,87.29544983390933,0
Equatorial Guinea,471.7412127496239,-464.50989260799923,1
Eritrea,-15.888644383442545,189.4019967333596,0
Estonia,-486.6427165064063,2.547314544162059,0
Ethiopia,1206.7669588618996,-498.3499532996956,1
Fiji,-577.4916919503526,32.59053022055285,0
Finland,-733.6928635046628,-5.92081036235518,0
France,-707.5867637611925,-3.694539353377537,0
French Polynesia,-538.3271086877169,65.05957950113314,0
Gabon,629.5508432013368,-53.7778687801663,1
Gambia,805.597012805323,-139.04598331939894,1
Georgia,-442.01097474001045,-84.2915617949341,0
Germany,-727.2138375386697,-1.3755873525324598,0
Ghana,974.0397744671656,180.2010394413631,1
Greece,-679.908327078981,0.5793599152215703,0
Grenada,-740.5051120944056,-15.397810294474167,0
Guam,-452.0869933380069,97.48640466429032,0
Guatemala,-364.6163178525939,10.853265874434689,0
Guinea,602.8040173454744,-315.87182207379516,1
Guinea-Bissau,694.4779655973989,163.72795792809123,1
Guyana,-392.5044925077457,-177.45332581007696,0
Haiti,982.4441823201206,79.11264168352128,1
Honduras,-354.0024821709501,79.17417786596785,0
Hungary,-550.051870663167,59.069590526483076,0
Iceland,-756.1727106928435,-12.528393504667946,0
India,1146.8093448904651,363.27038897838844,1
Indonesia,680.063316691273,204.21320265547033,1
Iran,-583.64912457332,20.700250150684155,0
Iraq,-431.9212197208032,4.598859757001551,0
Ireland,-714.6072242664019,-4.601585520094681,0
Israel,-737.2507351916134,-9.446258363261355,0
Italy,-737.0162630793394,-9.544234592790778,0
Jamaica,-736.2720779711684,-11.17494265056412,0
Japan,-575.4715112395672,22.452438077547576,0
Jordan,-714.0818859588873,-0.27862189207401816,0
Kazakhstan,-244.68647977052723,-133.00704981779,0
Kenya,420.4999957049458,-457.0799003026099,1
Kiribati,2234.809789742141,864.4940747345508,2
Kuwait,-549.008743001341,73.3167037357654,0
Kyrgyzstan,-220.32215956340033,-106.0387078951857,0
Laos,756.7532769949164,141.2117334705848,1
Latvia,-453.8488770585891,-32.112726707347974,0
Lebanon,-584.2103909297178,52.86303306723268,0
Lesotho,646.9079448364683,-435.16087553916145,1
Liberia,1049.4050454262108,51.50359862970457,1
Libyan Arab Jamahiriya,-637.258610166025,28.758170096646158,0
Lithuania,-401.43981379182304,-15.789498662528398,0
Luxembourg,-714.692521994369,-4.300425420025111,0
Madagascar,806.4335295437903,-104.23884507555,1
Malawi,712.7872983237787,-9.1504164554339,1
Malaysia,-154.33721231205783,23.31637536772898,0
Maldives,-381.73096226093116,60.34405776035592,0
Mali,1732.2579024523402,-28.19784677193341,2
Malta,-741.4882233974125,-9.337257419821722,0
Mauritania,1746.6661279508714,-51.54067692799624,2
Mauritius,-577.5293003741333,2.119333374942666,0
Mexico,-536.6012608387153,79.36113412016256,0
"Micronesia, Fed. Sts.",71.53355762043519,170.44422390057133,0
Monaco,-759.5253610792904,-13.312820029600493,0
Mongolia,686.8390365167895,363.7229711506101,1
Montserrat,-716.3985372066858,-11.342383366688141,0
Morocco,-326.82840657477914,43.73060314118989,0
Mozambique,1101.349198675474,-453.0949878707012,1
Myanmar,430.46328944921567,328.77353038442783,1
Namibia,1601.7201013497704,105.96832103056546,2
Nauru,-92.02495161719702,234.60345174940878,0
Nepal,986.5706524172185,525.6247568384399,1
Netherlands,-737.2507351916134,-9.446258363261355,0
Netherlands Antilles,-685.7943450712143,-0.19040448267978988,0
New Caledonia,-509.9208388702755,90.67159374089576,0
New Zealand,-728.5487926753434,-14.694878322689668,0
Nicaragua,-364.48825127605915,79.76047652894528,0
Niger,494.1131696566917,14.09583562745332,1
Nigeria,1095.703798991128,-479.3843714024674,1
Niue,-415.73497803849654,88.36246151651373,0
Northern Mariana Islands,-58.64719324183448,190.61339206656706,0
Norway,-745.515028357311,-10.035931072832058,0
Oman,-689.1650402859774,12.079677376365026,0
Pakistan,853.8901368358377,152.55409891790396,1
Palau,-236.36018889812755,109.64392730612673,0
Panama,-516.5627374398184,23.861279824607152,0
Papua New Guinea,1267.8131210494478,5.728215819995799,1
Paraguay,-402.42645122869743,-8.006998593726028,0
Peru,264.54544531727095,273.4563702782467,1
Philippines,1971.702344810343,337.2210376923403,2
Poland,-517.3044492879637,72.55052303190504,0
Portugal,-609.760970756546,14.634392214943452,0
Puerto Rico,-720.9782752801308,3.7259035713118642,0
Qatar,-445.6097340694466,-20.686295723984582,0
"Korea, Rep.",-209.57147942910828,63.482005793371734,0
Moldova,-121.38572371510911,-127.13419151527467,0
Romania,-92.15520213407976,-73.45457796648043,0
Russian Federation,-265.0400540093524,-119.98731260136928,0
Rwanda,916.0462492229096,-697.2058944338332,1
Saint Kitts and Nevis,-708.7154799740438,-11.252254637427551,0
Saint Lucia,-682.0108320115552,-4.606775618147189,0
Saint Vincent and the Grenadines,-602.6402548298095,-4.965295640677784,0
Samoa,-636.3359725535354,-4.7676211187118716,0
San Marino,-742.0091942976545,-10.407467922396503,0
Sao Tome and Principe,441.3968715286873,73.34187974403417,1
Saudi Arabia,-494.9617028874858,-18.887746373725523,0
Senegal,975.3409214083351,-198.13441637092598,1
Seychelles,-449.4401072593342,63.30628454000972,0
Sierra Leone,1986.283716763512,-711.0110597313725,2
Singapore,-592.5893553053429,19.064796919853478,0
Slovakia,-603.5503878867412,39.232082659827306,0
Slovenia,-617.0489013271095,51.78496503464475,0
Solomon Islands,809.2776706358405,530.292938936262,1
Somalia,1155.6436261631382,324.6884994237595,1
South Africa,1785.0561045150755,-109.85699950776524,2
Spain,-639.083825879744,8.167293475006508,0
Sri Lanka,-369.9767866272625,8.551365513721029,0
Sudan,893.5805339635435,-15.32791143944172,1
Suriname,-306.6998793085631,-107.60588532128484,0
Swaziland,1924.1201486333532,-565.5533340534938,2
Sweden,-750.5382701855741,-13.357630372501436,0
Switzerland,-734.4850664779157,-4.5658303617712725,0
Syrian Arab Republic,-535.0902609661526,73.56280700749849,0
